sku,product_name,product_url,product_image,short_description,category
SKU-001,Walnut Modern Sofa,walnut-modern-sofa,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=800&fit=crop,Three-seat sofa with solid walnut frame and stain-resistant linen upholstery. Deep cushions for everyday lounging comfort.,living
SKU-002,Linen Lounge Chair,linen-lounge-chair,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=800&h=800&fit=crop,Curved lounge chair wrapped in natural linen with FSC-certified oak legs. Designed for slow afternoons and good books.,living
SKU-003,Oak Coffee Table,oak-coffee-table,https://images.unsplash.com/photo-1532372320572-cda25653a26d?w=800&h=800&fit=crop,Rounded coffee table hand-finished in solid white oak. Soft chamfered edges and a low silhouette for modern living rooms.,living
SKU-004,Boucle Accent Chair,boucle-accent-chair,https://images.unsplash.com/photo-1540574163026-643ea20ade25?w=800&h=800&fit=crop,Sculptural accent chair upholstered in textured ivory boucle. Statement piece for entryways and reading corners.,living
SKU-005,King Platform Bed,king-platform-bed,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=800&h=800&fit=crop,Low-profile king bed with upholstered headboard and engineered hardwood slats. No box spring required.,bedroom
SKU-006,Walnut Nightstand,walnut-nightstand,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?w=800&h=800&fit=crop,Two-drawer nightstand crafted from kiln-dried walnut with soft-close runners and brass-tipped legs.,bedroom
SKU-007,Reading Bench,reading-bench,https://images.unsplash.com/photo-1538688525198-9b88f6f53126?w=800&h=800&fit=crop,Slim upholstered bench in warm camel leather. Doubles as bedroom seating or living-room overflow.,bedroom
SKU-008,Solid Oak Dining Table,solid-oak-dining-table,https://images.unsplash.com/photo-1554080353-a576cf803bda?w=800&h=800&fit=crop,Family-size dining table built from solid white oak with a hand-rubbed matte finish. Comfortably seats six.,dining
SKU-009,Wishbone Dining Chair,wishbone-dining-chair,https://images.unsplash.com/photo-1615066391307-1bfc4c1ea5f2?w=800&h=800&fit=crop,Steam-bent solid ash dining chair with hand-woven paper cord seat. Sold individually or in sets of four.,dining
SKU-010,Marble Side Table,marble-side-table,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800&h=800&fit=crop,Petite side table with Carrara marble top and powder-coated steel base. Perfect beside sofas and chairs.,dining
SKU-011,Rattan Pendant Lamp,rattan-pendant-lamp,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=800&h=800&fit=crop,Hand-woven rattan pendant with diffused warm-glow LED. Casts beautiful organic shadows on walls and ceilings.,lighting
SKU-012,Brass Floor Lamp,brass-floor-lamp,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=800&h=800&fit=crop,Adjustable arc floor lamp finished in aged brass with weighted marble base. Reach over sofas with ease.,lighting
SKU-013,Ceramic Floor Vase,ceramic-floor-vase,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=800&h=800&fit=crop,Tall hand-thrown ceramic vase in warm terracotta tones. Sculptural on its own or styled with branches.,decor
SKU-014,Wool Area Rug,wool-area-rug,https://images.unsplash.com/photo-1597824944045-1a76a0e57c70?w=800&h=800&fit=crop,Hand-loomed 8x10 area rug in natural undyed wool. Subtle ribbed texture brings warmth to any room.,decor
SKU-015,Walnut Bookshelf,walnut-bookshelf,https://images.unsplash.com/photo-1594620302200-9a762244a156?w=800&h=800&fit=crop,Six-shelf bookcase in solid walnut with brass-pin shelf supports. Tall enough to anchor a wall confidently.,decor
